Company,Sector,Unit,Year,UF,Ecoregion,Biome,River_Basin,Area_ha,FB_dolar,GEE_tCO2e_ano,Energ_tep-year,Water_m3,IIr,IIg,IIa,IIe,IIoa,IIB,BCA_min,BCA_achieved,Mitigation
FF2,Flor,FF2.01,2012,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,275793,1182012131,2009837,551840,40065597,678,686,741,744,996,769,348466,2282070,655%
FF2,Flor,FF2.02,2012,SC,Fl.Cost.SM,Mat.Atlantica,RB.Atl.Sul,25600,103326614,175692,48240,3502369,156,160,480,203,976,395,129923,12663,10%
FF2,Flor,FF2.03,2012,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,124129,501008958,851892,233903,16982248,472,481,730,552,991,645,252356,287460,114%
FF2,Flor,FF2.04,2012,SP,Fl.Int.Par.Paran,Mat.Atlantica,RB.Parana,8783,35449424,60277,16550,1201597,60,62,79,80,837,223,74981,9670,13%
AG1,Agrop/Alim,AG1.01,2012,GO,Cerrado,Cerrado,RB.Parana,107,476523457,113616,29930,2090512,45,110,130,136,7,86,106530,651,1%
AG1,Agrop/Alim,AG1.02,2012,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,10236639,2441,643,44908,1,3,7,3,333,69,32018,1340,4%
AG1,Agrop/Alim,AG1.03,2012,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,472277290,112603,29663,2071884,45,109,248,135,333,174,143059,1340,1%
AG1,Agrop/Alim,AG1.04,2012,PR,Cerrado,Cerrado,RB.Parana,1704,958733949,228587,60217,4205973,87,199,231,241,103,172,174896,1508,1%
AG1,Agrop/Alim,AG1.05,2012,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,477911334,113947,30017,2096601,45,110,250,137,333,175,143916,1340,1%
AG1,Agrop/Alim,AG1.06,2012,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,1065,970002035,231274,60924,4255406,88,201,404,243,500,287,217504,1896,1%
AG1,Agrop/Alim,AG1.07,2012,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,852,481549661,114814,30245,2112562,45,111,131,137,444,174,143757,1344,1%
AG1,Agrop/Alim,AG1.08,2012,MS,Cerrado,Cerrado,RB.Parana,76,470889414,112272,29576,2065795,45,109,129,135,5,84,105488,241,0%
AG1,Agrop/Alim,AG1.09,2012,RJ,Fl.Cost.SM,Mat.Atlantica,RB.Atl.SE,12,2349831,560,148,10309,0,1,1,1,19,4,6576,0,0%
AG1,Agrop/Alim,AG1.10,2012,PR,Fl.Araucaria,Mat.Atlantica,RB.Parana,852,476523457,113616,29930,2090512,45,110,130,136,444,173,143112,1344,1%
AG1,Agrop/Alim,AG1.11,2012,RS,Fl.Araucaria,Mat.Atlantica,RB.Atl.Sul,22,476523457,113616,29930,2090512,45,110,356,136,20,133,128305,185,0%
AG1,Agrop/Alim,AG1.12,2012,SC,Fl.Araucaria,Mat.Atlantica,RB.Uruguai,533,4994536,1191,314,21911,1,1,3,2,333,68,25774,1340,5%
AG1,Agrop/Alim,AG1.13,2012,GO,Cerrado,Cerrado,RB.Parana,33,472277290,112603,29663,2071884,45,109,129,135,2,84,105387,103,0%
AG1,Agrop/Alim,AG1.14,2012,RS,Fl.Int.Par.Paran,Mat.Atlantica,RB.Atl.Sul,44,963035986,229613,60487,4224846,87,200,527,242,25,216,192702,267,0%
